baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	newp	Treatment	tissue	otu
Otu00157	221.865965332896	12.1452330403946	0.653782654476154	18.5768664207312	4.9455279409063e-77	4.0009321041932e-74	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	0.0e+00	pre-weaning	wean-feces	Otu00157
Otu00162	115.57081634046	5.57093670818322	0.921362122112819	6.046413863214	1.48105355690222e-09	1.55606795783623e-08	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00162
Otu00163	15.6649166212039	3.03735188306384	0.655344577796888	4.63474023585378	3.57385975005441e-06	2.27657680141261e-05	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	0.0e+00	pre-weaning	wean-feces	Otu00163
Otu00166	23.4224799034485	7.56496765787166	1.09726292818888	6.89439829190098	5.40932708159999e-12	7.05829936937805e-11	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00166
Otu00167	3.55534738455443	6.31797322738311	1.81604975378877	3.47896483243485	0.00050335463793864	0.00230088803458343	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum	2.0e-03	pre-weaning	wean-feces	Otu00167
Otu00168	57.2867111376386	2.09650793163952	0.458326054496001	4.57427176804284	4.77879214103227e-06	2.88510659857844e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	NA	0.0e+00	pre-weaning	wean-feces	Otu00168
Otu00170	53.2778302507888	3.12260304822808	1.01650400435035	3.07190432587005	0.00212697886803637	0.00839378489873866	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	NA	8.0e-03	pre-weaning	wean-feces	Otu00170
Otu00171	27.8157426534398	7.7478330676162	0.793888947743609	9.75934113913173	1.68244667826548e-22	4.12454352338415e-21	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	0.0e+00	pre-weaning	wean-feces	Otu00171
Otu00172	28.7117573303995	5.82342888737425	0.771951967839347	7.54377102460626	4.56572509869418e-14	7.10321462469922e-13	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmatales_Incertae_Sedis	NA	0.0e+00	pre-weaning	wean-feces	Otu00172
Otu00173	25.0579168970559	-3.06391603137709	1.03526121994049	-2.95955839199039	0.00308080311531877	0.0116465874780041	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	1.2e-02	post-weaning	wean-feces	Otu00173
Otu00174	11.4851727675492	7.9865455967731	1.03393022866937	7.72445313553843	1.12334559404196e-14	1.89330538662488e-13	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00174
Otu00176	19.7900078350767	-1.7679941407039	0.645310940353663	-2.73975541114327	0.0061484921368555	0.0210768226216784	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_5	2.1e-02	post-weaning	wean-feces	Otu00176
Otu00178	12.2305763388444	-2.76003185758028	0.729151979515634	-3.78526279173477	0.000153546234746492	0.000786195594366531	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	[Eubacterium]_ruminantium_group	1.0e-03	post-weaning	wean-feces	Otu00178
