group2	4-nitrophenyl sulfate	a-D-galactopyranoside	A-D-glucopyranoside	a-L-fucopyranoside	B-D-galactopyranoside	B-D-glucopyranoside	B-D-xylopyranoside	N-acetyl-B-D-glucosamine	day	tissue	pig	treatment	muc_deg
15 feces 68	0	8.66241122954227e-05	1.79685131825714e-05	6.03461081402262e-06	2.06290849673205e-06	1.20820381291645e-05	2.94984383859564e-06	4.12129803440717e-05	15	feces	68	control	2.69529678351897e-05
15 feces 69	3.89987361123088e-08	0.000151374005283975	1.50087294993871e-05	1.11166815210933e-05	3.89928698752366e-08	1.53499521449769e-05	4.05625872829146e-06	7.36749750722202e-05	15	feces	69	control	3.02206684848842e-05
15 feces 70	1.31473235010492e-06	0.000263714998293145	1.44776990594682e-05	7.97868389780159e-06	1.40002970885324e-05	2.78627426850146e-05	4.711572730696e-06	3.86506258850616e-05	15	feces	70	control	2.84826880380707e-05
15 feces 71	3.52916723374507e-08	0.000182545152430613	1.81913287907432e-05	1.23848781937017e-05	7.34031491384432e-05	1.8887106188513e-05	3.79079002141079e-06	5.63383547530889e-05	15	feces	71	control	3.44022886781932e-05
15 feces 72	2.36022438187655e-06	0.000237029136176714	1.57551734624194e-05	1.21119281045752e-05	1.88484105763517e-05	6.94099479869867e-05	6.5828402730172e-06	3.87898869875004e-05	15	feces	72	control	3.68101662218883e-05
15 feces 73	1.91288805320532e-07	8.44168374862181e-05	1.57626205620582e-05	1.34618241235889e-05	8.60442661913254e-06	1.75595044758412e-05	4.93620406393523e-06	5.56289954271172e-05	15	feces	73	control	3.43519375549028e-05
15 feces 74	5.05104556784918e-07	0.000111704306810943	2.2246636067443e-05	5.45528817587644e-06	1.62377450980392e-05	1.11796510920414e-05	4.28646284211828e-06	3.66694554355001e-05	15	feces	74	RPS	3.24934916422226e-05
15 feces 75	4.233856389913e-07	0.000141191579013155	2.93861351360022e-05	1.13153594771242e-05	7.57575757575761e-06	1.80274237305587e-05	4.19177431638333e-06	5.01254749047221e-05	15	feces	75	RPS	4.53166545685011e-05
15 feces 77	3.95537483087318e-07	6.66546337725891e-05	9.90988578047268e-06	7.54604872251935e-06	3.9698455139632e-06	9.36183945837727e-06	2.37249439582626e-06	3.54681263415122e-05	15	feces	77	RPS	2.02239663819056e-05
15 feces 78	3.15674129391294e-08	0.000133177455583008	1.62750824875773e-05	1.46538918597742e-05	8.8978015448604e-06	1.44549752203849e-05	3.20231470264577e-06	5.03520231692145e-05	15	feces	78	RPS	3.41628564629365e-05
15 feces 79	4.30810396562781e-07	0.000141921164260558	1.52315469831664e-05	1.24108734402852e-05	5.45157456922168e-06	1.50305839844481e-05	3.68682696394605e-06	4.00654922537505e-05	15	feces	79	RPS	3.17600577839605e-05
15 feces 80	2.30256589310582e-07	0.000118602760504845	1.23479017114515e-05	1.2466577540107e-05	2.94674688057045e-06	2.16945323178401e-05	6.46031221647135e-06	5.09684953936239e-05	15	feces	80	RPS	3.15050480573404e-05
15 feces 81	2.74836086861777e-07	5.93812214658401e-05	5.79701142011462e-06	5.11549316696379e-06	1.00267379679145e-05	8.55786663029028e-06	2.38363714483293e-06	4.17440274683676e-05	15	feces	81	control	1.35709778187731e-05
15 feces 83	3.24959453423324e-07	0.000102288548916214	8.68252385911084e-06	6.51923648247181e-06	3.03271687462864e-05	1.96558133076756e-05	3.33226125970806e-06	2.74672603592395e-05	15	feces	83	control	1.8858981054714e-05
15 feces 84	4.27104583378735e-07	0.000108559525326354	2.48090807387796e-05	1.32074420677362e-05	2.08147653000594e-05	1.74666695757803e-05	3.70168739971647e-06	6.3492405478632e-05	15	feces	84	control	4.2145314789611e-05
15 feces 85	5.14381751976881e-07	7.61706323510716e-05	1.30089342594596e-05	9.59781639928703e-06	1.2191770647653e-05	2.10911017164385e-05	3.68312333802484e-06	3.13813655081299e-05	15	feces	85	control	2.68042557487483e-05
15 feces 86	8.85770326742549e-07	0.000110833621946187	8.23316956184972e-06	8.75482768865126e-06	2.64501633986928e-05	1.87311552970599e-05	3.20231470264576e-06	4.0954872677256e-05	15	feces	86	control	2.10760822798893e-05
15 feces 87	3.20511789777492e-06	7.67127059521132e-05	9.09659422779725e-06	5.06907308377899e-06	7.56833036244805e-06	2.65128784386137e-05	2.87558759182919e-06	1.92677707898966e-05	15	feces	87	control	2.02463728011803e-05
15 feces 90	2.78600365165984e-08	0.000103387553741899	1.82006102345319e-05	7.79114676173503e-06	1.08901515151515e-05	1.10477954133761e-05	3.47705887864573e-06	4.918039141561e-05	15	feces	90	RPS	2.94966759114292e-05
15 feces 91	1.99623774140026e-06	0.000165365857816888	4.02987328855151e-05	7.88770053475939e-06	1.3305852644088e-05	2.50701389688365e-05	5.1923898025806e-06	4.88554692653971e-05	15	feces	91	RPS	5.53750609642554e-05
15 feces 93	1.54499738090337e-06	0.000140163144618716	3.30032545447822e-05	1.1267082590612e-05	1.72682709447418e-06	3.92392125050291e-05	4.0265584793197e-06	5.07196692787944e-05	15	feces	93	RPS	4.98418929956173e-05
15 feces 94	5.25513260675525e-07	0.000115218496625141	1.1464052617468e-05	1.39297385620915e-05	1.72199940582293e-05	1.84656184500987e-05	3.39352435059148e-06	6.62218894524116e-05	15	feces	94	RPS	2.93128287908265e-05
15 feces 95	5.32940206780908e-07	0.000170251912479872	1.51572738633708e-05	4.65314913844329e-06	1.45499108734403e-05	1.34411945554022e-05	2.15158824846677e-06	2.54805221663048e-05	15	feces	95	RPS	2.24949514570618e-05
15 feces 96	1.37786311156303e-06	0.000129906442415951	5.84473203322035e-05	4.20008912655975e-06	7.57204396910284e-06	3.52360093958952e-05	4.50922595808063e-06	2.73094624098707e-05	15	feces	96	RPS	6.85344985284069e-05
19 feces 67	1.56000134400993e-06	4.33804961378491e-05	1.81244962059601e-05	4.81825928733985e-06	5.5553798858307e-06	1.38684640522876e-05	3.51492869875223e-06	2.98295454545455e-05	19	feces	67	control	2.80176855360621e-05
19 feces 68	0	5.45046048722519e-05	1.54655224560533e-05	6.22752991474208e-06	7.35085276784974e-06	8.96278966131907e-06	2.37113784907903e-06	4.54508318478907e-05	19	feces	68	control	2.40641902198744e-05
19 feces 69	2.04260871027039e-07	0.000135897578728461	1.03778020275073e-05	6.60629667327671e-06	1.03086564132284e-05	9.28215983363041e-06	4.63643790849672e-06	3.3416889483066e-05	19	feces	69	control	2.18247974803078e-05
19 feces 70	4.58647297149527e-07	0.000106160873440285	2.13683734704432e-05	9.27444042264096e-06	1.26741494034257e-05	2.02094474153298e-05	6.48767082590611e-06	4.70848187759952e-05	19	feces	70	control	3.75891320161398e-05
19 feces 71	9.28316676302665e-08	0.000118423202614379	1.94985550179033e-05	9.2688766160888e-06	1.74218396189864e-05	3.80570409982175e-05	8.5375816993464e-06	5.44990344622698e-05	19	feces	71	control	3.73978450009687e-05
19 feces 72	4.51241923735427e-07	0.000122868389780155	1.23349121916055e-05	1.23659207719036e-05	1.38457485932958e-05	2.59451128936423e-05	6.2054367201426e-06	3.98340017825312e-05	19	feces	72	control	3.1357511607387e-05
19 feces 73	1.09539873347726e-07	0.000101648841354724	6.38562301074825e-06	7.80017703294775e-06	9.58824692651839e-06	1.89561051693405e-05	6.17201426024955e-06	3.14839572192513e-05	19	feces	73	control	2.04673541772933e-05
19 feces 74	1.96094638171049e-06	7.69923499702911e-05	1.0708323459432e-05	3.6169393681324e-06	9.38027121245149e-06	2.8912284610814e-05	3.04887106357693e-06	1.549688057041e-05	19	feces	74	RPS	1.93350802728518e-05
19 feces 75	1.79568831121584e-06	0.000109712938205585	1.66705890308827e-05	8.65800253914751e-06	1.123701723328e-05	4.54341206179441e-05	5.54812834224599e-06	3.90894236482472e-05	19	feces	75	RPS	3.2672408223492e-05
19 feces 76	1.22373905094857e-06	0.000153256833036245	3.13153962797156e-05	8.06198820172815e-06	1.83910734747785e-05	3.23770796197267e-05	1.220105466429e-05	4.82323232323232e-05	19	feces	76	RPS	5.28021781966823e-05
19 feces 77	7.87356021787126e-07	8.53312537136067e-05	1.65146266391766e-05	1.07988358973831e-05	1.79101758577905e-05	1.80369875222816e-05	5.13963161021983e-06	5.8123514557338e-05	19	feces	77	RPS	3.32404501685666e-05
19 feces 78	3.70279644639747e-06	0.000206788472964944	3.59685975286414e-05	4.77739719166839e-06	1.63634882731784e-05	2.67658199643494e-05	5.6781045751634e-06	2.9187091503268e-05	19	feces	78	RPS	5.01268957418707e-05
